date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:04:18	593/593	---M--	200	added ('OK')	text/css	etag:%22eba314b09a245d1ceba683db580566cc%22	http://r4ds.had.co.nz/libs/leafletfix-1.0.0/leafletfix.css	/Users/chou/websites/rstudio_book/r4ds.had.co.nz/libs/leafletfix-1.0.0/leafletfix.css	(from http://r4ds.had.co.nz/)
23:04:20	2520/2520	---M--	200	added ('OK')	text/css	etag:%22e09efdf1b15b85686aa0e4fe2c2e1d9a%22	http://r4ds.had.co.nz/libs/leaflet-label-0.2.2/leaflet.label.css	/Users/chou/websites/rstudio_book/r4ds.had.co.nz/libs/leaflet-label-0.2.2/leaflet.label.css	(from http://r4ds.had.co.nz/)
23:04:24	9523/9523	---M--	200	added ('OK')	application/javascript	etag:%22dc53bb49b762ccc54c121234f0bd6a7e%22	http://r4ds.had.co.nz/libs/leaflet-label-0.2.2/leaflet.label.js	/Users/chou/websites/rstudio_book/r4ds.had.co.nz/libs/leaflet-label-0.2.2/leaflet.label.js	(from http://r4ds.had.co.nz/)
23:04:30	11519/11519	---M--	200	added ('OK')	application/javascript	etag:%22bccf235e94d8b02970595686d078f3ac%22	http://r4ds.had.co.nz/libs/Proj4Leaflet-0.7.2/proj4leaflet.js	/Users/chou/websites/rstudio_book/r4ds.had.co.nz/libs/Proj4Leaflet-0.7.2/proj4leaflet.js	(from http://r4ds.had.co.nz/)
23:04:37	126073/126073	---M--	200	added ('OK')	application/javascript	etag:%220eeaef7816acafd25ae99231ba2f8702%22	http://r4ds.had.co.nz/libs/leaflet-0.7.7/leaflet.js	/Users/chou/websites/rstudio_book/r4ds.had.co.nz/libs/leaflet-0.7.7/leaflet.js	(from http://r4ds.had.co.nz/)
23:04:38	199/199	---M--	200	added ('OK')	text/css	etag:%22328a14f3bbf573617ac9778eaf12958e%22	http://r4ds.had.co.nz/r4ds.css	/Users/chou/websites/rstudio_book/r4ds.had.co.nz/r4ds.css	(from http://r4ds.had.co.nz/)
23:04:40	75258/75258	---M--	200	added ('OK')	application/javascript	etag:%227dd3b25b692fb9adbc78e507bcff807a%22	http://r4ds.had.co.nz/libs/Proj4Leaflet-0.7.2/proj4-compressed.js	/Users/chou/websites/rstudio_book/r4ds.had.co.nz/libs/Proj4Leaflet-0.7.2/proj4-compressed.js	(from http://r4ds.had.co.nz/)
23:04:40	86204/86204	---M--	200	added ('OK')	text/html	etag:%221e49a26b2665754b5329f10266752ea0%22	http://r4ds.had.co.nz/index.html	/Users/chou/websites/rstudio_book/r4ds.had.co.nz/index-2.html	(from http://r4ds.had.co.nz/)
23:04:42	341755/341755	---M--	200	added ('OK')	image/png	etag:%22aa8697ea527f8eceb586350efbc19b11%22	http://r4ds.had.co.nz/cover.png	/Users/chou/websites/rstudio_book/r4ds.had.co.nz/cover.png	(from http://r4ds.had.co.nz/)
23:04:42	87292/87292	---M--	200	added ('OK')	text/html	etag:%22630f90e2a4f63c8bae12678a7c3d1298%22	http://r4ds.had.co.nz/explore-intro.html	/Users/chou/websites/rstudio_book/r4ds.had.co.nz/explore-intro.html	(from http://r4ds.had.co.nz/)
23:04:44	152306/152306	---M--	200	added ('OK')	text/html	etag:%2233437e488926002694f7e9b6985d0a32%22	http://r4ds.had.co.nz/data-visualisation.html	/Users/chou/websites/rstudio_book/r4ds.had.co.nz/data-visualisation.html	(from http://r4ds.had.co.nz/)
